freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.167e+01,1.861e+01,3.268e+02,4.270e+02
1.4,5.118e+02,5.992e+01,2.453e+02,8.170e+02
2.9,6.717e+02,6.771e+01,5.586e+01,7.953e+02
4.3,6.393e+02,7.097e+01,2.124e+02,9.226e+02
5.8,6.347e+02,7.103e+01,9.979e+02,1.704e+03
7.2,6.275e+02,7.638e+01,1.774e+03,2.478e+03
8.6,6.104e+02,7.905e+01,2.681e+03,3.370e+03
10.1,6.138e+02,8.058e+01,3.852e+03,4.547e+03
11.5,5.627e+02,8.174e+01,3.886e+03,4.530e+03
13.0,5.601e+02,8.371e+01,4.393e+03,5.037e+03
14.4,5.592e+02,9.045e+01,5.721e+03,6.371e+03
15.8,5.573e+02,8.107e+01,7.264e+03,7.902e+03
17.3,6.567e+02,8.499e+01,9.123e+03,9.865e+03
18.7,6.004e+02,7.090e+01,1.130e+04,1.197e+04
20.2,5.427e+02,7.033e+01,1.352e+04,1.413e+04
21.6,5.280e+02,6.856e+01,1.598e+04,1.657e+04
23.0,5.522e+02,8.808e+01,1.831e+04,1.895e+04
24.5,5.780e+02,1.160e+02,2.017e+04,2.086e+04
25.9,5.323e+02,1.145e+02,2.316e+04,2.381e+04
27.4,5.459e+02,1.163e+02,2.703e+04,2.769e+04
28.8,5.782e+02,1.330e+02,3.133e+04,3.204e+04
30.2,5.789e+02,1.418e+02,3.593e+04,3.665e+04
31.7,5.396e+02,1.642e+02,4.170e+04,4.241e+04
33.1,5.109e+02,2.139e+02,4.916e+04,4.988e+04
34.6,6.259e+02,2.415e+02,5.759e+04,5.846e+04
36.0,6.987e+02,2.403e+02,6.558e+04,6.652e+04
37.4,7.379e+02,2.711e+02,7.414e+04,7.515e+04
38.9,6.284e+02,2.768e+02,8.259e+04,8.349e+04
40.3,6.866e+02,3.647e+02,9.743e+04,9.848e+04
41.8,8.440e+02,5.918e+02,1.181e+05,1.196e+05
43.2,8.973e+02,7.806e+02,1.356e+05,1.373e+05
44.6,1.151e+03,8.976e+02,1.575e+05,1.595e+05
46.1,1.115e+03,9.488e+02,1.921e+05,1.942e+05
47.5,1.038e+03,1.160e+03,2.437e+05,2.459e+05
49.0,1.449e+03,1.640e+03,3.127e+05,3.158e+05
50.4,2.471e+03,2.392e+03,3.974e+05,4.022e+05
51.8,4.713e+03,3.696e+03,5.179e+05,5.263e+05
53.3,6.021e+03,4.409e+03,6.235e+05,6.339e+05
54.7,5.519e+03,5.858e+03,7.828e+05,7.942e+05
56.2,8.888e+03,8.351e+03,9.198e+05,9.370e+05
57.6,1.161e+04,7.415e+03,7.563e+05,7.753e+05
59.0,9.124e+03,5.142e+03,5.721e+05,5.864e+05
60.5,4.667e+03,4.011e+03,5.172e+05,5.259e+05
61.9,4.181e+03,6.542e+03,6.578e+05,6.686e+05
63.4,1.046e+04,1.322e+04,7.993e+05,8.230e+05
64.8,1.973e+04,2.107e+04,7.861e+05,8.269e+05
66.3,2.697e+04,2.705e+04,7.049e+05,7.589e+05
67.7,2.716e+04,2.858e+04,6.408e+05,6.965e+05
69.1,2.372e+04,2.679e+04,5.697e+05,6.202e+05
70.6,2.106e+04,2.298e+04,4.265e+05,4.705e+05
72.0,2.056e+04,1.937e+04,2.863e+05,3.263e+05
73.5,2.128e+04,1.694e+04,2.078e+05,2.460e+05
74.9,1.867e+04,1.457e+04,1.779e+05,2.111e+05
76.3,1.492e+04,1.136e+04,1.516e+05,1.779e+05
77.8,1.299e+04,8.700e+03,1.276e+05,1.493e+05
79.2,1.268e+04,8.110e+03,1.119e+05,1.327e+05
80.7,1.527e+04,8.970e+03,9.814e+04,1.224e+05
82.1,1.355e+04,9.502e+03,7.995e+04,1.030e+05
83.5,1.359e+04,1.028e+04,6.656e+04,9.043e+04
85.0,1.376e+04,1.112e+04,6.559e+04,9.047e+04
86.4,1.174e+04,1.069e+04,6.693e+04,8.935e+04
87.9,1.048e+04,1.030e+04,6.724e+04,8.802e+04
89.3,9.391e+03,9.020e+03,6.558e+04,8.399e+04
90.7,7.315e+03,6.922e+03,6.119e+04,7.543e+04
92.2,5.706e+03,5.027e+03,5.451e+04,6.525e+04
93.6,4.036e+03,3.526e+03,4.894e+04,5.650e+04
95.1,2.566e+03,2.657e+03,4.527e+04,5.049e+04
96.5,1.882e+03,2.373e+03,4.228e+04,4.653e+04
97.9,1.437e+03,2.094e+03,3.834e+04,4.187e+04
99.4,1.213e+03,1.957e+03,3.582e+04,3.899e+04
100.8,1.083e+03,1.919e+03,3.350e+04,3.651e+04
102.3,7.723e+02,1.732e+03,2.846e+04,3.097e+04
103.7,6.182e+02,1.672e+03,2.130e+04,2.359e+04
105.1,4.882e+02,1.756e+03,1.508e+04,1.732e+04
106.6,4.657e+02,1.772e+03,1.164e+04,1.388e+04
108.0,5.526e+02,1.946e+03,1.025e+04,1.274e+04
109.5,5.781e+02,2.356e+03,1.000e+04,1.294e+04
110.9,5.768e+02,2.559e+03,9.890e+03,1.303e+04
112.3,6.366e+02,2.377e+03,9.315e+03,1.233e+04
113.8,7.755e+02,2.394e+03,9.176e+03,1.235e+04
115.2,1.648e+03,4.303e+03,9.600e+03,1.555e+04
116.7,2.509e+03,5.914e+03,1.034e+04,1.876e+04
118.1,2.939e+03,5.148e+03,9.659e+03,1.775e+04
119.5,4.064e+03,4.610e+03,8.911e+03,1.758e+04
121.0,4.340e+03,3.485e+03,7.780e+03,1.561e+04
122.4,3.478e+03,2.723e+03,6.717e+03,1.292e+04
123.9,3.137e+03,2.502e+03,5.897e+03,1.154e+04
125.3,7.964e+03,8.950e+03,5.734e+03,2.265e+04
126.7,1.290e+04,1.374e+04,1.183e+04,3.847e+04
128.2,9.774e+03,7.318e+03,2.507e+04,4.216e+04
129.6,6.012e+03,5.459e+03,1.299e+04,2.446e+04
131.1,5.804e+03,4.941e+03,1.207e+04,2.282e+04
132.5,5.867e+03,4.951e+03,1.377e+04,2.459e+04
133.9,6.198e+03,5.731e+03,1.762e+04,2.954e+04
135.4,8.272e+03,7.594e+03,2.494e+04,4.080e+04
136.8,1.029e+04,9.957e+03,3.109e+04,5.133e+04
138.3,1.145e+04,1.128e+04,3.338e+04,5.611e+04
139.7,1.201e+04,1.198e+04,3.454e+04,5.853e+04
141.1,1.234e+04,1.200e+04,3.490e+04,5.925e+04
142.6,1.247e+04,1.194e+04,3.405e+04,5.846e+04
144.0,1.222e+04,1.133e+04,3.103e+04,5.457e+04
145.5,1.110e+04,9.971e+03,2.730e+04,4.837e+04
146.9,1.018e+04,8.818e+03,2.450e+04,4.349e+04
148.3,1.005e+04,8.392e+03,2.336e+04,4.180e+04
149.8,1.034e+04,8.252e+03,2.280e+04,4.139e+04
151.2,1.019e+04,7.704e+03,2.144e+04,3.934e+04
152.7,9.395e+03,6.874e+03,1.899e+04,3.526e+04
154.1,8.628e+03,5.693e+03,1.632e+04,3.064e+04
155.5,8.311e+03,4.684e+03,1.499e+04,2.798e+04
157.0,8.960e+03,3.994e+03,1.543e+04,2.838e+04
158.4,9.714e+03,3.894e+03,1.671e+04,3.031e+04
159.9,1.093e+04,4.010e+03,1.892e+04,3.386e+04
161.3,1.255e+04,4.286e+03,2.164e+04,3.848e+04
162.7,1.404e+04,4.681e+03,2.482e+04,4.354e+04
164.2,1.596e+04,4.995e+03,2.749e+04,4.844e+04
165.6,2.023e+04,6.625e+03,3.263e+04,5.948e+04
167.1,2.477e+04,8.545e+03,3.864e+04,7.195e+04
168.5,2.910e+04,1.015e+04,4.583e+04,8.509e+04
169.9,3.084e+04,1.069e+04,4.839e+04,8.992e+04
171.4,2.847e+04,1.048e+04,4.601e+04,8.496e+04
172.8,2.417e+04,1.001e+04,3.984e+04,7.401e+04
174.3,2.114e+04,9.840e+03,3.453e+04,6.550e+04
175.7,2.106e+04,9.913e+03,3.401e+04,6.499e+04
177.1,2.178e+04,1.020e+04,3.533e+04,6.731e+04
178.6,2.203e+04,1.002e+04,3.553e+04,6.758e+04
180.0,2.079e+04,9.280e+03,3.327e+04,6.333e+04
181.5,2.039e+04,8.238e+03,3.309e+04,6.172e+04
182.9,2.297e+04,7.598e+03,4.016e+04,7.073e+04
184.3,3.134e+04,7.907e+03,6.157e+04,1.008e+05
185.8,4.101e+04,8.416e+03,8.661e+04,1.360e+05
187.2,4.736e+04,9.433e+03,1.026e+05,1.594e+05
188.7,5.277e+04,1.111e+04,1.153e+05,1.792e+05
190.1,5.366e+04,1.329e+04,1.173e+05,1.842e+05
191.5,4.890e+04,1.583e+04,1.041e+05,1.689e+05
193.0,4.156e+04,1.772e+04,8.569e+04,1.450e+05
194.4,3.689e+04,1.961e+04,7.405e+04,1.305e+05
195.9,3.343e+04,2.166e+04,6.556e+04,1.206e+05
197.3,2.905e+04,2.192e+04,5.420e+04,1.052e+05
198.8,2.304e+04,1.882e+04,4.059e+04,8.245e+04
