freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.841e+01,2.041e+02,7.440e+00,2.499e+02
1.5,3.252e+01,1.316e+02,2.715e+01,1.913e+02
3.0,1.563e+01,2.305e+01,2.916e+01,6.783e+01
4.5,1.356e+01,2.586e+02,2.911e+01,3.012e+02
6.0,1.819e+01,1.105e+03,3.207e+01,1.155e+03
7.5,2.474e+01,1.937e+03,3.855e+01,2.000e+03
8.9,2.670e+01,2.880e+03,4.684e+01,2.954e+03
10.4,2.760e+01,4.203e+03,8.421e+01,4.314e+03
11.9,2.973e+01,6.789e+03,6.824e+01,6.887e+03
13.4,2.846e+01,1.192e+04,5.486e+01,1.200e+04
14.9,2.967e+01,9.617e+03,7.869e+01,9.726e+03
16.4,3.069e+01,4.876e+03,6.207e+01,4.968e+03
17.9,3.155e+01,7.047e+03,5.129e+01,7.130e+03
19.4,3.176e+01,1.035e+04,4.999e+01,1.043e+04
20.9,2.955e+01,1.412e+04,5.139e+01,1.420e+04
22.4,2.986e+01,1.802e+04,4.905e+01,1.810e+04
23.9,3.088e+01,2.211e+04,5.247e+01,2.219e+04
25.3,2.837e+01,2.776e+04,5.998e+01,2.785e+04
26.8,2.523e+01,3.548e+04,7.046e+01,3.557e+04
28.3,3.259e+01,4.647e+04,6.765e+01,4.657e+04
29.8,5.405e+01,6.331e+04,8.562e+01,6.345e+04
31.3,1.158e+02,9.026e+04,1.098e+02,9.048e+04
32.8,3.034e+02,1.340e+05,1.732e+02,1.345e+05
34.3,9.517e+02,1.997e+05,2.856e+02,2.009e+05
35.8,2.068e+03,2.579e+05,1.978e+02,2.602e+05
37.3,5.978e+03,2.903e+05,1.604e+02,2.964e+05
38.8,1.366e+04,2.910e+05,3.977e+02,3.050e+05
40.3,1.876e+04,2.788e+05,6.493e+02,2.982e+05
41.8,2.065e+04,2.383e+05,6.640e+02,2.596e+05
43.2,2.086e+04,1.686e+05,6.996e+02,1.901e+05
44.7,2.298e+04,1.232e+05,9.660e+02,1.472e+05
46.2,2.830e+04,9.544e+04,1.419e+03,1.252e+05
47.7,3.425e+04,7.006e+04,1.647e+03,1.060e+05
